Time,Event
17,failure
33,failure
42,failure
54,failure
63,failure
76,failure
87,failure
100,failure
106,PM
120,failure
130,failure
148,failure
160,failure
171,failure
189,failure
199,failure
200,PM
218,failure
228,failure
243,failure
261,failure
272,PM
275,PM
290,failure
305,failure
315,failure
330,failure
341,failure
363,failure
366,PM
378,failure
387,failure
394,PM
405,failure
417,failure
433,failure
442,PM
452,failure
461,PM
474,failure
486,failure
502,failure
513,PM
534,failure
550,failure
566,PM
578,failure
589,failure
602,failure
613,failure
620,failure
633,failure
648,failure
657,failure
665,failure
674,PM
685,failure
704,failure
719,failure
730,PM
744,failure
745,PM
747,PM
759,failure
775,failure
793,failure
801,PM
816,failure
835,failure
854,failure
866,failure
876,failure
886,failure
905,failure
925,failure
943,failure
952,failure
966,failure
977,failure
981,PM
984,PM
992,PM
1004,failure
1019,failure
1035,failure
1037,PM
1044,failure
1053,failure
1075,failure
1079,PM
1095,failure
1105,failure
1117,failure
1128,failure
1147,failure
1158,failure
1165,PM
1182,failure
1197,failure
1211,failure
1226,failure
1236,failure
1251,failure
1264,failure
